学校	所在学院	URL
中山大学南方学院	文学与传媒学院	http://wcy.nfu.edu.cn/a/xueyuangaikuang/zhuanyeshezhi/wangluoyuxinmeitix/
浙江外国语学院	传媒学院	http://www.fjgkedu.com/college/9099/121/151338.html
